country,internetusers,worldmap
Afghanistan,7170891,Afghanistan
Africa,451617356,Africa
Albania,2071012,Albania
Algeria,27331100,Algeria
Angola,12034256,Angola
Argentina,38505807,Argentina
Armenia,2146572,Armenia
Asia,2553848929,Asia
Australia,23000366,Australia
Austria,7796929,Austria
Azerbaijan,8701069,Azerbaijan
Bahamas,353636,Bahamas
Bahrain,1472602,Bahrain
Bangladesh,41520393,Bangladesh
Belarus,8197353,Belarus
Belgium,10582024,Belgium
Benin,3261925,Benin
Bhutan,413294,Bhutan
Bolivia,7154552,Bolivia
Bosnia and Herzegovina,2429408,Bosnia and Herz.
Botswana,1629699,Botswana
Brazil,173419624,Brazil
Brunei,419649,Brunei
Bulgaria,4896594,Bulgaria
Burkina Faso,4734979,Burkina Faso
Burundi,1148701,Burundi
Cameroon,10013632,Cameroon
Canada,36740677,Canada
Cape Verde,375807,Cape Verde
Central African Republic,555674,Central African Rep.
Chad,1731049,Chad
Chile,17042181,Chile
China,1003218650,China
Colombia,35544505,Colombia
Costa Rica,4125648,Costa Rica
Croatia,3208708,Croatia
Cuba,8362514,Cuba
Cyprus,1123710,N. Cyprus
Czechia,8565759,Czechia
Democratic Republic of Congo,12628031,Dem. Rep. Congo
Denmark,5624604,Denmark
Djibouti,643196,Djibouti
Dominican Republic,8458745,Dominican Rep.
Ecuador,11362233,Ecuador
Egypt,77282687,Egypt
El Salvador,3435919,El Salvador
Estonia,1183985,Estonia
Ethiopia,28125821,Ethiopia
Europe,632245905,Europe
Finland,5096511,Finland
France,54679086,France
Gabon,1421401,Gabon
Gambia,939512,Gambia
Georgia,2731476,Georgia
Germany,74840220,Germany
Ghana,18664633,Ghana
Greece,8211719,Greece
Grenada,70369,Grenada
Guatemala,8676149,Guatemala
Guinea,3433341,Eq. Guinea
Guinea-Bissau,461627,Guinea-Bissau
Haiti,3900847,Haiti
High-income countries,1066575290,High-income countries
Honduras,4256201,Honduras
Hong Kong,6931868,Hong Kong
Hungary,8265671,Hungary
Iceland,363015,Iceland
India,600446441,India
Indonesia,146059763,Indonesia
Iran,73420540,Iran
Ireland,4550428,Ireland
Israel,7892890,Israel
Italy,41938046,Italy
Japan,112995146,Japan
Kazakhstan,16311260,Kazakhstan
Kenya,15335805,Kenya
Kiribati,48060,Kiribati
Kuwait,4321463,Kuwait
Laos,2473956,Laos
Latvia,1686484,Latvia
Lebanon,4762519,Lebanon
Lesotho,969265,Lesotho
Liberia,1302423,Liberia
Lithuania,2342390,Lithuania
Low-income countries,109763424,Low-income countries
Lower-middle-income countries,1473736616,Lower-middle-income countries
Luxembourg,622978,Luxembourg
Macao,595809,Macao
Malaysia,29732254,Malaysia
Maldives,323744,Maldives
Mali,5815387,Mali
Malta,447639,Malta
Mauritania,1835431,Mauritania
Mauritius,842096,Mauritius
Mexico,90678697,Mexico
Mongolia,2058963,Mongolia
Montenegro,488204,Montenegro
Morocco,30862724,Morocco
Mozambique,5144410,Mozambique
Myanmar,18751542,Myanmar
Namibia,1020531,Namibia
Nepal,11064432,Nepal
Netherlands,15923567,Netherlands
New Zealand,4630934,New Zealand
Nicaragua,3053667,Nicaragua
Nigeria,73956230,Nigeria
North America,480339051,North America
North Macedonia,1718534,North Macedonia
Norway,5218441,Norway
Oceania,27679360,Oceania
Oman,4326686,Oman
Pakistan,56799184,Pakistan
Panama,2759146,Panama
Paraguay,4895026,Paraguay
Peru,21731361,Peru
Philippines,55871109,Philippines
Poland,31966596,Poland
Portugal,8059531,Portugal
Qatar,2750807,Qatar
Romania,15253305,Romania
Russia,123766963,Russia
Rwanda,3483787,Rwanda
Saint Lucia,95538,Saint Lucia
Sao Tome and Principe,72154,Sao Tome and Principe
Saudi Arabia,35226770,Saudi Arabia
Senegal,7001787,Senegal
Serbia,5766328,Serbia
Seychelles,83381,Seychelles
Sierra Leone,1482115,Sierra Leone
Singapore,5437341,Singapore
Slovakia,4906697,Slovakia
Slovenia,1833911,Slovenia
South Africa,41161350,South Africa
South America,313033045,South America
South Korea,50032746,South Korea
South Sudan,689405,S. Sudan
Spain,44145745,Spain
Sri Lanka,7600277,Sri Lanka
Sudan,12621097,Sudan
Suriname,425312,Suriname
Sweden,9802763,Sweden
Switzerland,8137569,Switzerland
Syria,7432437,Syria
Tanzania,13574994,Tanzania
Thailand,55639332,Thailand
Timor,378299,Timor
Togo,2026220,Togo
Tunisia,8744277,Tunisia
Turkey,65347988,Turkey
Uganda,8836517,Uganda
Ukraine,32948894,Ukraine
United Arab Emirates,9287286,United Arab Emirates
United Kingdom,63584584,United Kingdom
United States,305371298,United States of America
Upper-middle-income countries,1808688316,Upper-middle-income countries
Uruguay,2952444,Uruguay
Uzbekistan,23837456,Uzbekistan
Vietnam,67944025,Vietnam
World,4699886462,World
Zambia,3747688,Zambia
Zimbabwe,4591211,Zimbabwe
Belize,0,Belize
Greenland,0,Greenland
Trinidad and Tobago,0,Trinidad and Tobago
Puerto Rico,0,Puerto Rico
Jamaica,0,Jamaica
Guyana,0,Guyana
Falkland Is.,0,Falkland Is.
Venezuela,0,Venezuela
Palestine,0,Palestine
North Korea,0,North Korea
Tajikistan,0,Tajikistan
Cambodia,0,Cambodia
Kyrgyzstan,0,Kyrgyzstan
Iraq,0,Iraq
Timor-Leste,0,Timor-Leste
Turkmenistan,0,Turkmenistan
Jordan,0,Jordan
Yemen,0,Yemen
Taiwan,0,Taiwan
Somalia,0,Somalia
Malawi,0,Malawi
Somaliland,0,Somaliland
W. Sahara,0,W. Sahara
Congo,0,Congo
Libya,0,Libya
Eritrea,0,Eritrea
Côte d'Ivoire,0,Côte d'Ivoire
eSwatini,0,eSwatini
Niger,0,Niger
Madagascar,0,Madagascar
Kosovo,0,Kosovo
Moldova,0,Moldova
Papua New Guinea,0,Papua New Guinea
Fiji,0,Fiji
New Caledonia,0,New Caledonia
Solomon Is.,0,Solomon Is.
Vanuatu,0,Vanuatu
